moyenAge;Population total;Population résidante permanente;Suisse;Homme;Femme;Titulaire d'une autorisation de séjour (B);Titulaire d'une autorisation d'établissement (C);Titulaire d'une autorisation de séjour avec activité lucrative (Ci);Personne admise à titre provisoire (F);Titulaire d'une autorisation de séjour de courte durée (L);Requérant d'asile (N);Diplomate, fonctionnaire international avec immunité diplomatique;Fonctionnaire international sans immunité diplomatique;Pas attribué;Population résidante non permanente;Id;Canton;Année
40.85111539178525;16093;15974;14240;8269;7824;464;1168;0;58;88;70;0;0;5;119;146;Appenzell Innerrhoden;2015
40.8326748779921;503451;499065;381712;252252;251199;30598;83441;0;1473;4012;2205;2;0;8;4386;147;St. Gallen;2015
42.73065757180985;204951;196610;160689;103434;101517;15751;16895;0;660;10072;874;0;0;10;8341;148;Graubünden / Grigioni / Grischun;2015
41.07787986229179;661108;653675;495277;333443;327665;41218;113173;2;1984;6759;2591;4;17;83;7433;149;Aargau;2015
40.97270542330888;269614;267429;202663;135925;133689;17903;45296;0;596;2323;814;0;0;19;2185;150;Thurgau;2015
43.976080033817105;354850;351946;254288;173257;181593;35602;60050;0;1050;2172;1101;35;0;552;2904;151;Ticino;2015
39.78629676516981;783596;773407;513739;385071;398525;99154;151139;118;3670;6277;2987;646;2339;3527;10189;152;Vaud;2015
41.48388502881254;344121;335696;258612;171551;172570;27616;43506;0;1293;11459;1532;0;10;93;8425;153;Valais / Wallis;2015
41.09381277509752;179709;178107;132556;87953;91756;14140;30098;0;628;1147;682;11;13;434;1602;154;Neuchâtel;2015
40.23287909195322;489314;484736;287521;237229;252085;60912;109050;653;2092;4061;2043;7509;15473;0;4578;155;Genève;2015
41.98051105557149;73221;72782;62361;36268;36953;3126;6836;1;231;277;354;0;7;28;439;156;Jura;2015
40.86457817679098;1500925;1487969;1092631;747601;753324;147564;233831;14;6774;14508;5008;202;8;385;12956;157;Zürich;2016
42.84924501485185;1032868;1026513;861614;507758;525110;49643;100645;62;5718;7653;4676;2081;341;435;6355;158;Bern / Berne;2016
40.87395721056595;406362;403397;329264;202805;203557;24141;45606;0;2095;2964;1788;0;0;504;2965;159;Luzern;2016
42.35421580997312;36458;36145;31850;18656;17802;1831;1982;0;111;495;184;0;0;5;313;160;Uri;2016
41.65212464589235;157085;155863;123597;80670;76415;8924;21390;0;681;1797;689;0;1;6;1222;161;Schwyz;2016
41.65622344944775;37664;37378;31892;19136;18528;2511;2663;0;147;356;90;0;0;5;286;162;Obwalden;2016
43.0240657314255;42841;42556;36521;22017;20824;2541;3107;0;168;349;154;0;1;0;285;163;Nidwalden;2016
42.41257343140643;40514;40147;30650;20579;19935;2824;6113;0;200;514;211;0;0;2;367;164;Glarus;2016
41.237869718870385;125636;123948;89809;63991;61645;12962;20057;0;498;1994;315;1;0;0;1688;165;Zug;2016
39.41561170000797;313675;311914;242087;157474;156201;22701;44271;7;1135;2224;1124;22;50;54;1761;166;Fribourg / Freiburg;2016
42.574511220547905;271288;269441;210240;135585;135703;13472;42903;2;1190;2034;1309;0;23;115;1847;167;Solothurn;2016
43.03249543288121;195966;193070;124026;94995;100971;24867;41721;31;746;3284;644;18;629;0;2896;168;Basel-Stadt;2016
43.577037633116305;287061;285624;221990;141059;146002;16714;44080;21;1350;1445;705;4;372;380;1437;169;Basel-Landschaft;2016
43.20362473347548;81606;80769;59889;40677;40929;5884;14264;0;329;861;369;0;0;10;837;170;Schaffhausen;2016
42.24716146116734;55134;54954;46044;27899;27235;2280;6125;0;250;210;225;0;0;0;180;171;Appenzell Ausserrhoden;2016
41.0146602062368;16098;16003;14230;8296;7802;476;1149;0;72;96;73;0;0;2;95;172;Appenzell Innerrhoden;2016
41.03337712390886;505436;502552;382829;253442;251994;30865;84446;0;1768;3561;1961;0;0;6;2884;173;St. Gallen;2016
43.047679370121706;205246;197550;160932;103685;101561;16157;17100;0;769;9506;778;0;0;4;7696;174;Graubünden / Grigioni / Grischun;2016
41.2291353141633;668474;663462;499712;337033;331441;42344;115946;2;2164;5686;2466;2;18;134;5012;175;Aargau;2016
41.16619033118462;272567;270709;204378;137412;135155;18407;46135;0;710;2191;707;0;0;39;1858;176;Thurgau;2016
44.185249722654895;356956;354375;254828;174366;182590;36924;60292;0;1233;1990;814;28;0;847;2581;177;Ticino;2016
39.86849517825723;794526;784822;520957;390657;403869;100099;152761;120;3993;6708;2800;700;2308;4080;9704;178;Vaud;2016
41.71784832186879;346576;339176;260444;172525;174051;27149;44854;0;1486;11083;1424;0;11;125;7400;179;Valais / Wallis;2016
41.27541873345641;179828;178567;132878;88009;91819;13718;30357;0;696;1138;649;7;18;367;1261;180;Neuchâtel;2016
40.317939576818716;493122;489524;292641;239159;253963;60607;108577;630;2331;3812;1970;7568;14985;1;3598;181;Genève;2016
42.1824225827986;73401;73122;62471;36338;37063;3184;6869;1;287;229;319;0;3;38;279;182;Jura;2016
